Stage Name,Full Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Soyul,Park Hyekyeong,5/15/91,Crayon Pop,South Korea,Seoul,,F
St. Van,Lee Geumhyuk,12/22/91,VAV,South Korea,,,M
Sua,Kim Bora,8/10/94,Dreamcatcher,South Korea,Changwon,,F
Sua,Yang Sua,3/24/95,Hashtag,South Korea,Gwangju,,F
Subin,Park Subin,2/12/94,Dal Shabet,South Korea,Gwangju,,F
Subin,Jung Subin,4/5/99,VICTON,South Korea,,,M
Subin,Oh Subin,9/30/98,Hashtag,South Korea,,,F
Suga,Min Yoongi,3/9/93,BTS,South Korea,Daegu,,M
Sugyeong,Jo Sugyeong,1/12/00,Favorite,South Korea,Haenam,,F
Suho,Kim Junmyeon,5/22/91,EXO,South Korea,Seoul,,M
Suhyeon,Kim Seunghyun,4/19/88,S#aFLA,South Korea,,,F
Suhyun,Choi Hyunggeun,10/1/92,SNUPER,South Korea,Bucheon,,M
Sujeong,Ryu Sujeong,11/19/97,Lovelyz,South Korea,Daejeon,,F
Suji,Lee Suji,3/20/98,UNI.T,South Korea,Busan,,F
Sujin,Bang Sujin,6/26/96,Wassup,South Korea,,,F
Sulli†,Choi Jinri,3/29/94,,South Korea,Busan,,F
Sumin,Ji Sumin,3/3/94,Sonamoo,South Korea,Yongin,,F
Sumin,Park Sumin,9/9/01,Dreamnote,South Korea,,,F
Sumin,Bae Sumin,3/13/01,STAYC,South Korea,,,F
Sun J,Jeon Heesun,2/13/01,Girlkind,South Korea,,,F
Sungah,Son Sungah,7/8/89,9Muses,South Korea,Suma,,F
Sungchan,Jung Sungchan,9/13/01,NCT,South Korea,,NCT U,M
Sunghoon,Park Sunghoon,12/8/02,ENHYPEN,South Korea,,,M
Sunghyuk,Seo Sunghyuk,8/26/99,,South Korea,,,M
Sunghyun,Kim Sunghyun,3/16/96,IN2IT,South Korea,,,M
Sungjae,Yook Sungjae,5/2/95,BtoB,South Korea,Yongin,Big Byung,M
Sungjin,Park Sungjin,2/16/93,DAY6,South Korea,,,M
Sungjong,Lee Sungjong,9/3/93,Infinite,South Korea,Gwangju,Infinite F,M
Sungjoo,Kim Sungjoo,2/16/94,UNIQ,South Korea,,,M
Sungjun,Park Sungjun,12/17/92,Boys Republic,South Korea,Ansan,,M
Sungkyu,Kim Sungkyu,4/28/89,Infinite,South Korea,Jeonju,,M
Sungmin,Lee Sungmin,1/1/86,Super Junior,South Korea,Gyeonggi,Super Junior-M,M
Sungmin,Oh Sungmin,12/31/90,Bigflo,South Korea,,,M
Sungoh,Yoo Sungoh,1/8/91,,South Korea,,,M
Sungwon,Park Sungwon,12/18/03,1the9,South Korea,Seoul,,M
Sungwoon,Ha Sungwoon,3/22/94,Wanna One,South Korea,Goyang,HOTSHOT,M
Sungyeol,Lee Sungyeol,8/27/91,Infinite,South Korea,Yongin,Infinite F,M
Sungyeon,Bae Sungyeon,5/25/99,Pristin,USA,California,,F
Sunhwa,Han Sunhwa,10/6/90,,South Korea,Busan,,F
Sunmi,Lee Sunmi,5/2/92,Wonder Girls,South Korea,Iksan,,F
Sunn,Hwang Jiwon,2/7/00,Cignature,South Korea,Jincheon,,F
Sunny,Lee Sunkyu,5/15/89,SNSD,South Korea,California,,F
Sunoo,Kim Sunwoo,6/24/03,ENHYPEN,South Korea,,,M
Sunshine,Kim Minjung,6/20/02,NATURE,South Korea,,,F
Sunwoo,Choi Sunwoo,3/12/92,Boys Republic,South Korea,Seoul,,M
Sunwoo,Kim Sunwoo,4/12/00,The Boyz,South Korea,,,M
Sunyoul,Seon Yein,11/6/96,UP10TION,South Korea,Wando,,M
Suri,Kang Suri,10/11/94,CHECKMATE,South Korea,,,F
Surin,Kim Surin,12/27/91,Two X,South Korea,,,F
Suwoong,Lee Suwoong,1/20/95,Boys Republic,South Korea,,,M
Suyeon,Ji Suyeon,4/20/97,Weki Meki,South Korea,,,F
Suyun,Kim Suyun,3/17/01,Rocket Punch,South Korea,,,F
Suzy,Bae Suji,10/10/94,miss A,South Korea,Gwangju,,F
Swan,Kim Suan,12/28/00,CRAXY,South Korea,,,F
Swan,Park Soojin,7/11/03,Purple Kiss,South Korea,,,F
T.O.P,Choi Seunghyun,11/4/87,BIGBANG,South Korea,Seoul,GD&TOP,M
Taecyeon,Ok Taecyeon,12/27/88,2PM,South Korea,Busan,,M
Taedong,Kim Taedong,11/7/97,GIDONGDAE,South Korea,,,M
Taeeun,Moon Taeeun,2/9/00,IM,South Korea,,,M
Taeha,Yoo Taeha,10/5/95,,South Korea,,,F
Taeha,Kim Taeha,6/3/98,,South Korea,Jeonju,,F
Taeheon,Kim Taeheon,6/18/89,ZE:A,South Korea,Gwangju,,M
Taehyun,Nam Taehyun,5/10/94,,South Korea,Hanam,,M
Taehyun,Noh Taehyun,10/15/93,HOTSHOT,South Korea,Seoul,JBJ,M
Taehyun,Kang Taehyun,2/5/02,TXT,South Korea,,,M
Taeil,Lee Taeil,9/24/90,Block B,South Korea,Seoul,,M
Taeil,Moon Taeil,6/14/94,NCT,South Korea,Seoul,"NCT U, NCT 127",M
Taekhyeon,Jung Taekhyeon,7/28/03,1the9,South Korea,Gunpo,,M
Taemin,Lee Taemin,7/18/93,SHINee,South Korea,Seoul,SuperM,M
Taera,Lee Yujin,4/12/94,Gate9,South Korea,Incheon,,F
Taeryeong,Lim Jeongmin,12/27/00,LUNARSOLAR,South Korea,,,F
Taeseon,Yang Taeseon,9/17/00,TRCNG,South Korea,,,M
Taesung,Lee Taesung,12/19/03,Ghost9,South Korea,,TEEN TEEN,M
Taewoo,Kim Taewoo,4/23/99,1the9,South Korea,,,M
Taewoong,Yoo Taewoong,5/24/94,SNUPER,South Korea,,,M
Taeyang,Dong Youngbae,5/18/88,BIGBANG,South Korea,Uljeongbu,,M
Taeyang,Yoo Taeyang,2/28/97,SF9,South Korea,,,M
Taeyeon,Kim Taeyeon,3/9/89,SNSD,South Korea,Jeonju,"TTS, Oh!GG",F
Taeyong,Lee Taeyong,7/1/95,NCT,South Korea,,"NCT U, NCT 127,SuperM",M
Taeyoung,Kim Taeyoung,1/27/03,CRAVITY,South Korea,,,M
TAG,Son Youngtaek,4/13/98,Golden Child,South Korea,,,M
Takuya,Terada Takuya,3/18/92,CROSS GENE,Japan,Moriya,,M
Tao,Hwang Zitao,5/2/93,,China,Qingdao,,M
Taro,Choi Wonjin,11/9/94,Hot Blood Youth,South Korea,,,M
Ten,Chittaphon Leechaiyapornkul,2/27/96,NCT,Thailand,Bangkok,"NCT U,SuperM",M
Teo,Jang Sungsik,10/22/97,DKB,South Korea,,,M
Terry,Han Dasom,2/2/98,,South Korea,,,F
The8,Xu Minghao,11/7/97,Seventeen,China,Anshan,,M
Theo,Choi Taeyang,7/1/01,P1Harmony,South Korea,,,M
Thunder,Park Sanghyun,10/7/90,,South Korea,Busan,,M
Tiffany,Hwang Miyoung,8/1/89,SNSD,South Korea,San Francisco,TTS,F
Timoteo,Kim Moongyu,1/25/93,HOTSHOT,South Korea,,,M
Tina,Christine Joy Park,9/1/94,Blady,USA,Los Angeles,,F
Tzuyu,Chou Tzuyu,6/14/99,Twice,Taiwan,Tainan,,F
U,Mizuguchi Yuto,3/16/99,ONF,Japan,Osaka,,M
U-Know Yunho,Jung Yunho,2/6/86,TVXQ,South Korea,Gwangju,,M
U-Kwon,Kim Yukwon,4/9/92,Block B,South Korea,Suwon,Bastarz,M
U-Si,Yoo Jiyeon,11/13/97,BADKIZ,South Korea,Iksan,,F
Uchae,Yu Hyejun,5/7/02,NATURE,South Korea,,,F
Uee,Kim Yujin,4/9/88,,South Korea,Daegu,,F
Uji,Jang Yuji,1/2/91,,South Korea,,,F
Umji,Kim Yewon,8/19/98,Gfriend,South Korea,Incheon,,F
V,Kim Taehyung,12/30/95,BTS,South Korea,Daegu,,M
Vernon,Choi Hansol,2/18/98,Seventeen,USA,New York,,M
Victoria,Song Qian,2/2/87,f(x),China,Qingdao,,F
Viki,Kang Eunhye,3/28/88,,South Korea,Seoul,,F
Villain,Lee Seunghyun,7/17/98,Spectrum,South Korea,,,M
Vivi,Wong Viian,12/9/96,LOONA,Hong Kong,Hong Kong,Loona 1/3,F
Vivian,Park Sunghee,12/8/98,Gate9,South Korea,,,F
Way,Heo Minsun,7/12/90,Crayon Pop,South Korea,Seoul,,F
Wei,Lee Sungjun,7/8/96,UP10TION,South Korea,Seoul,,M
Wendy,Son Seunghwan,2/21/94,Red Velvet,South Korea,Seoul,,F
Wenhan,Li Wenhan,7/22/94,UNIQ,China,,,M
Wheein,Jung Wheein,4/17/95,Mamamoo,South Korea,Jeonju,,F
Win,Bang Junhyuk,12/19/04,MCND,South Korea,,,M
Winter,Kim Minjung,1/1/01,aespa,South Korea,Yangsan,,F
Winwin,Dong Sicheng,10/28/97,NCT,China,Zhejiang,NCT 127,M
Won Hyuk,Won Hyuk,2/22/02,E'LAST,South Korea,,,M
Woncheol,Jung Woncheol,1/12/96,MY.st,South Korea,,,M
Wondae,Seol Wondae,4/28/98,Dongkiz,South Korea,,,M
Wonho,Shin Hoseok,3/1/93,,South Korea,Anyang,,M
Wonjin,Won Jin,1/1/03,GIDONGDAE,South Korea,,,M
Wonjin,Ham Wonjin,3/22/01,CRAVITY,South Korea,,,M
Wonjun,Lee Wonjun,3/8/02,E'LAST,South Korea,,,M
Wonpil,Kim Wonpil,4/28/94,DAY6,South Korea,,,M
Wontak,Ju Wontak,2/24/96,,South Korea,,,M
Wonwoo,Jeon Wonwoo,7/17/96,Seventeen,South Korea,Changwon,,M
Wonyoung,Jang Wonyoung,8/31/04,IZ*ONE,South Korea,Seoul,,F
Woo-ah,Kim Chaewon,7/20/97,CRAXY,South Korea,,,F
Woobin,Seo Woobin,10/16/00,CRAVITY,South Korea,,,M
Woochul,Shin Woochul,10/2/02,Newkidd,South Korea,,,M
Woodam,Park Woodam,8/2/95,D1CE,South Korea,,,M
Woohee,Bae Woohee,9/21/91,Dal Shabet,South Korea,Busan,UNI.T,F
Woohyun,Nam Woohyun,2/8/91,Infinite,South Korea,Seoul,Toheart,M
Woojin,Park Woojin,11/2/99,AB6IX,South Korea,Busan,,M
Woojin,Lee Woojin,4/3/03,TheEastLight,South Korea,,,M
Woojin,Kim Woojin,4/8/97,,South Korea,Daejeon,,M
Woojin,Lee Woojin,4/7/03,Ghost9,South Korea,,TEEN TEEN,M
Woojin,Lee Woojin,11/22/96,MY.st,South Korea,,,M
Woojoo,Kim Woojoo,8/12/96,Wassup,South Korea,,,F
Woojoo,Kim Sangyoon,9/18/96,14U,South Korea,,,M
Woolim,Hwang Woolim,8/29/96,Playback,South Korea,,,F
Woonggi,Cha Woonggi,4/23/02,TOO,South Korea,,,M
Woori,Go Woori,2/22/88,Rainbow,South Korea,Jeonju,Rainbow Blaxx,F
Wooseok,Jeong Wooseok,1/31/98,PENTAGON,South Korea,,,M
Wooshin,Kim Wooseok,10/27/96,UP10TION,South Korea,Daejeon,,M
Woosu,Kim Minseok,11/23/99,IZ,South Korea,,,M
Woosung,Choi Sunghyuk,9/24/94,SNUPER,South Korea,Seoul,,M
Wooyeon,Park Jinkyung,2/11/03,woo!ah!,South Korea,,,F
Wooyeop,Jo Wooyeop,9/27/00,TRCNG,South Korea,,,M
Wooyoung,Jang Wooyoung,4/30/89,2PM,South Korea,Busan,,M
Wooyoung,Jung Wooyoung,11/26/99,ATEEZ,South Korea,,,M
Woozi,Lee Jihoon,11/22/96,Seventeen,South Korea,Busan,,M
Wow,Kim Seyoon,2/28/93,A.C.E,South Korea,Gyeonggi,,M
Wyatt,Shim Jaeyoung,1/23/95,ONF,South Korea,Seoul,,M
Xeheun,Lee Seheun,7/11/99,Girlkind,South Korea,,,F
Xero,Shin Jiho,2/3/94,Topp Dogg,South Korea,Gwangji,,M
Xia Junsu,Kim Junsu,12/15/86,JYJ,South Korea,,,M
Xiao,Lee Dongyeol,12/13/98,UP10TION,South Korea,Busan,,M
Xin,Wang Xinwi,11/10/96,VARSITY,China,,,M
Xion,Son Dongju,1/10/00,Oneus,South Korea,,,M
Xiumin,Kim Minseok,3/26/90,EXO,South Korea,Guri,EXO-CBX,M
Xiweol,Kang Minseok,10/21/96,VARSITY,South Korea,,,M
Xiyeon,Park Junghyun,11/14/00,Pristin,South Korea,,,F
Xuanyi,Wu Xuanyi,1/26/95,Cosmic Girls,China,Hainan,,F
Y,Choi Sungyoon,7/31/95,Golden Child,South Korea,,,M
Yan An,Yan An,10/25/96,PENTAGON,China,Shanghai,,M
Yano,Seo Sangwon,9/27/95,Topp Dogg,South Korea,Seoul,,M
Yeah,Kim Haeun,10/9/99,Cignature,South Korea,Gongju,,F
Yebin,Baek Yebin,7/13/97,DIA,South Korea,Chuncheon,UNI.T,F
Yechan,Shin Yechan,5/14/01,1the9,South Korea,Seoul,,M
Yechan,Kim Yechan,11/26/95,Pink Fantasy,South Korea,,,F
Yedam,Bang Yedam,5/7/02,Treasure,South Korea,,,M
YeeEun,Jang Yeeun,8/10/98,CLC,South Korea,Dongducheon,,F
Yeeun,Hwang Yeeun,1/12/97,Blady,South Korea,Gimhae,,F
Yehana,Kim Yewon,2/22/99,Pristin,South Korea,Ilsan,,F
Yehyeon,Kim Yehyeon,9/12/99,GIDONGDAE,South Korea,,,M
Yein,Jeong Yein,6/4/98,Lovelyz,South Korea,Incheon,,F
Yein,Ahn Yein,5/4/95,MELODYDAY,South Korea,,,F
Yeji,Hwang Yeji,5/26/00,ITZY,South Korea,,,F
Yejun,Oh Yejun,8/23/02,E'LAST,South Korea,,,M
Yellow,Kim Eunbi,5/5/93,Pungdeng-E,South Korea,Seoul,,F
Yena,Yang Yena,5/22/00,APRIL,South Korea,Daegu,,F
Yena,Jeong Yena,4/10/00,G-reyish,South Korea,,,F
Yena,Choi Yena,9/29/99,IZ*ONE,South Korea,Seoul,,F
Yenny,Park Yeeun,5/26/89,Wonder Girls,South Korea,Goyang,,F
Yeo One,Yeon Changgu,3/27/96,PENTAGON,South Korea,,,M
Yeoeun,Jung Jieun,1/25/90,MELODYDAY,South Korea,,,F
Yeojin,Im Yeojin,11/11/02,LOONA,South Korea,Guro,Loona 1/3,F
Yeonha,Ahn Yeonji,5/19/00,P.O.P,South Korea,Yeondong,,F
Yeonhee,Kim Yeonhee,12/6/00,Rocket Punch,South Korea,,,F
Yeonho,Ju Yeonho,5/31/00,Verivery,South Korea,,,M
Yeonjoo,Song Yeonjoo,6/26/97,P.O.P,South Korea,Ansan,,F
Yeonjun,Choi Yeonjun,9/13/99,TXT,South Korea,,,M
Yeonjung,Yu Yeonjung,8/3/99,Cosmic Girls,South Korea,Gwangmyeong,I.O.I,F
Yeontae,Jeong Yeontae,7/6/92,IN2IT,South Korea,,,M
Yeonwoo,Lee Dabin,8/1/96,,South Korea,Seoul,,F
Yeoreum,Lee Jinsook,1/10/99,Cosmic Girls,South Korea,Seoul,WJSN Chocome,F
Yeoreum,Ahn Chaeyeon,6/4/96,Hello Venus,South Korea,,,F
Yeori,Kim Soyeon,5/30/94,Gate9,South Korea,Seoul,,F
Yeori,Choi Yeori,9/8/99,ARIAZ,South Korea,,,F
Yeosang,Kang Yeosang,6/15/99,ATEEZ,South Korea,Incheon,,M
Yeoun,Lee Kyeongbin,9/3/97,ARGON,South Korea,,,M
Yeowool,Ha Yeowool,4/11/98,Purplebeck,South Korea,,,F
Yeram,Yang Yeram,3/31/00,Astin,South Korea,,,M
Yeri,Kim Yerim,3/5/99,Red Velvet,South Korea,Seoul,,F
Yerim,Jeong Yerim,3/10/97,Purplebeck,South Korea,,,F
Yerin,Baek Yerin,6/26/97,15&,South Korea,Daejeon,,F
Yerin,Jung Yerin,8/19/96,Gfriend,South Korea,Incheon,,F
Yeryung,,6/22/02,Lusty,South Korea,Busan,,F
Yeseo,Kang Yeseo,8/22/05,Busters,South Korea,,,F
Yeso,Lee Yeso,11/13/01,G-reyish,South Korea,,,F
Yesung,Kim Jongwoon,8/24/84,Super Junior,South Korea,Seoul,,M
Yezi,Lee Yeji,8/26/94,Fiestar,South Korea,Gangneung,,F
Yibo,Wang Yibo,8/5/97,UNIQ,China,,,M
Yijeong,Jang Yijeong,9/10/93,HISTORY,South Korea,Jinju,,M
Yiren,Wang Yiren,12/29/00,Everglow,China,,,F
Yixuan,Zhou Yixuan,12/11/90,UNIQ,China,,,M
Yiyeon,Jung Dasol,5/28/95,BVNDIT,South Korea,,,F
Yohan,Kim Yohan,9/22/99,WEi,South Korea,,,M
Yonggeun,Jo Yonggeun,1/23/95,D1CE,South Korea,,,M
Yongguk,Bang Yongguk,3/31/90,B.A.P,South Korea,Incheon,,M
Yongha,Yoo Yongha,1/11/99,WEi,South Korea,,,M
Yonghee,Kim Yonghee,2/17/00,CIX,South Korea,,,M
Yonghoon,Jin Yonghoon,8/17/94,Onewe,South Korea,,,M
Yonghwa,Jung Yonghwa,6/22/89,CNBLUE,South Korea,Seoul,,M
Yongseok,Kim Yongseok,1/8/93,CROSS GENE,South Korea,Seoul,,M
Yongseok,Choi Yongseok,5/23/96,CHECKMATE,South Korea,,,M
Yongseung,Kim Yongseung,6/17/00,Verivery,South Korea,,,M
Yooa,Yoo Siah,9/17/95,Oh My Girl,South Korea,Seoul,,F
Yoochun,Park Yoochun,7/4/86,JYJ,South Korea,Seoul,,M
Yoohyeon,Kim Yoohyeon,1/7/97,Dreamcatcher,South Korea,Incheon,,F
Yoojin,Jang Yoojin,9/14/92,,South Korea,,,F
Yoojun,Jun Yoojun,7/26/95,D1CE,South Korea,,,M
Yoojun,Jung Gun,12/27/00,BAE173,South Korea,,,M
Yoojung,Choi Yoojung,11/12/99,Weki Meki,South Korea,Guri,"I.O.I, WJMK",F
Yoojung,Lee Taeyeop,5/19/97,OnlyOneOf,South Korea,,,M
Yookyung,Seo Yookyung,3/15/93,,South Korea,,,F
Yoomin,Na Yoomin,8/29/93,MELODYDAY,South Korea,,,F
Yoon,Heo Yoon,9/23/94,4TEN,South Korea,,,F
Yoon,Kang Seungyoon,1/21/94,WINNER,South Korea,Busan,,M
Yoon,Ji Hayoon,7/8/97,Gate9,South Korea,Busan,,F
Yoon,Shim Jayoon,4/14/04,STAYC,South Korea,,,F
Yoona,Im Yoona,5/30/90,SNSD,South Korea,Seoul,,F
Yoonbin,Ha Yoonbin,12/11/00,,South Korea,,,M
Yoonhye,Jung Yoonhye,4/14/90,Rainbow,South Korea,Daejeon,,F
Yoonhye,Jung Yoonhye,10/4/01,FANATICS,South Korea,,FANATICS FLAVOR,F
Yoonji,,7/21/98,Lusty,South Korea,,,F
Yoonjo,Shin Yoonjo,12/14/92,UNI.T,South Korea,Seoul,,F
Yoonsan,Yoon Sanghyuk,8/22/94,HOTSHOT,South Korea,,,M
Yoosung,Jeong Yoosung,10/8/92,,South Korea,,,M
Yooyoung,Lee Yooyoung,1/23/95,Hello Venus,South Korea,Suwon,,F
Yoseob,Yang Yoseob,1/5/90,Highlight,South Korea,Seoul,,M
Yoshinori,Kanemoto Yoshinori,5/15/00,Treasure,Japan,Kobe,,M
Youi,Kim Jihyeo,4/24/00,Dreamnote,South Korea,,,F
Young K,Kang Young-hyun,12/19/93,DAY6,South Korea,,,M
Youngbin,Kim Youngbin,11/23/93,SF9,South Korea,,,M
Youngho,Noh Youngho,3/24/93,SIGNAL,South Korea,,,M
Younghoon,Kim Younghoon,8/8/97,The Boyz,South Korea,,,M
Youngjae,Yoo Youngjae,1/24/94,B.A.P,South Korea,Seoul,,M
Youngjae,Choi Youngjae,9/17/96,GOT7,South Korea,Mokpo,,M
Youngji,Hur Youngji,8/30/94,,South Korea,Goyang,,F
Youngmin,Jo Youngmin,4/24/95,Boyfriend,South Korea,Anyang,,M
Youngmin,Lim Youngmin,12/25/95,,South Korea,Busan,MXM,M
Youngseo,Ryu Youngseo,6/13/02,BAE173,South Korea,,,M
Youngwoong,Cho Youngwoon,5/1/99,14U,South Korea,,,M
Yua,Mikami Yua,8/16/93,Honey Popcorn,Japan,,,F
Yubin,Kim Yubin,10/4/88,Wonder Girls,South Korea,Gwangju,,F
Yubin,Cho Yubin,10/9/99,Pink Fantasy,South Korea,,,F
Yubin,Kim Yubin,2/27/02,Bling Bling,South Korea,,,F
Yuem,Park Subin,12/25/96,H.U.B,South Korea,,,F
Yugyeom,Kim Yugyeom,11/17/97,GOT7,South Korea,Namyangju,,M
Yuha,Kang Kyungwon,11/5/97,Hinapia,South Korea,,,F
Yujeong,Kim Yujeong,2/14/92,LABOUM,South Korea,Seoul,,F
Yujeong,Nam Yujeong,5/2/91,Brave Girls,South Korea,Seoul,,F
Yuji,Son Yuji,11/25/98,3YE,South Korea,,,F
Yujin,Choi Yujin,8/12/96,CLC,South Korea,Jeonju,,F
Yujin,Seo Yoojin,6/18/94,Playback,South Korea,,,F
Yujin,Jeong Yujin,10/23/89,S#aFLA,South Korea,,,F
Yujin,Ahn Yujin,9/1/03,IZ*ONE,South Korea,Cheongju,,F
Yuju,Choi Yuna,10/4/97,Gfriend,South Korea,Goyang,,F
Yuju,Choi Yuju,3/5/97,Cherry Bullet,South Korea,,,F
Yuki,Lim Jiyeon,1/30/02,Saturday,South Korea,,,F
Yuki,Mori Koyuki,9/11/02,Purple Kiss,Japan,,,F
Yuku,Amanumu Yuku,5/12/02,DKB,Japan,,,M
Yukyung,Lee Yukyung,11/5/99,ELRIS,South Korea,,,F
Yulhee,Kim Yulhee,11/27/97,,South Korea,Bucheon,,F
Yuna,Seo Yuna,12/30/92,AoA,South Korea,Busan,AOA BLACK,F
Yuna,Lee Yuna,4/6/93,Brave Girls,South Korea,Seoul,,F
Yuna,Shin Yuna,12/9/03,ITZY,South Korea,,,F
Yunho,Jang Yunho,4/15/00,VARSITY,South Korea,,,M
Yunho,Jeong Yunho,3/23/99,ATEEZ,South Korea,Gwangju,,M
Yunji,Lee Yunji,4/4/92,Playback,South Korea,,,F
Yunji,Kim Yunji,8/26/96,ARIAZ,South Korea,,,F
Yunkyung,Seo Yunkyung,11/1/01,Rocket Punch,South Korea,,,F
Yunmin,Yun Min,2/26/01,Newkidd,South Korea,,,M
Yunseong,Hwang Yunseong,10/30/00,DRIPPIN,South Korea,,,M
Yunsung,Hwang Yunsung,3/19/96,Romeo,South Korea,,,M
Yuqi,Song Yuqi,9/23/99,(G)I-DLE,China,Beijing,,F
Yura,Kim Ahyoung,11/6/92,Girl's Day,South Korea,Ulsan,,F
Yuri,Kwon Yuri,12/5/89,SNSD,South Korea,Goyang,,F
Yuri,Jo Yuri,10/22/01,IZ*ONE,South Korea,Busan,,F
Yurim,Park Yurim,4/13/98,3YE,South Korea,,,F
Yuta,Nakamoto Yuta,10/26/95,NCT,Japan,Osaka,NCT 127,M
Yuto,Adachi Yuto,1/23/98,PENTAGON,Japan,,,M
Yuuri,Tokunaga Yuuri,5/16/01,LUNARSOLAR,Japan,,,F
Yuvin,Song Yuvin,4/28/98,B.O.Y,South Korea,,,M
Yves,Ha Sooyoung,5/24/97,LOONA,South Korea,,Loona yyxy,F
YY,Kim Moonyong,8/30/91,UNVS,South Korea,,,M
Z-UK,Jeong Jaewook,1/27/93,,South Korea,,,M
Zelo,Choi Junhong,10/15/96,B.A.P,South Korea,Mokpo,,M
Zhou Mi,Zhou Mi,4/19/86,Super Junior-M,China,Wuhan,,M
Zico,Woo Jiho,9/14/92,Block B,South Korea,Seoul,,M
Ziu,Park Heejun,6/16/97,VAV,South Korea,,,M
ZN,Bae Jinye,6/9/94,LABOUM,South Korea,Bucheon,UNI.T,F
Zoa,Cho Hyewon,5/31/05,Weeekly,South Korea,,,F
Zuho,Bae Juho,7/4/96,SF9,South Korea,,,M
Zuny,Kim Joomi,12/8/94,Ladies' Code,South Korea,Gwangju,,F
